City,Country,Latitude,Longitude
Hong Kong,China,22.2793278,114.1628131
Bangkok,Thailand,13.7544238,100.4930399
London,United Kingdom,51.5073219,-0.1276474
Macau,China,22.1899448,113.5380454
Singapore,Singapore,1.2904753,103.8520359
Paris,France,48.8566969,2.3514616
Dubai,United Arab Emirates,25.2047397,55.2707065
New York City,United States,40.7127281,-74.0060152
Kuala Lumpur,Malaysia,3.1516964,101.6942371
Istanbul,Turkey,41.0096334,28.9651646
Havana,Cuba,23.135305,-82.3589631
Medellin,Colombia,6.2443382,-75.573553
Rio de Janeiro,Brazil,-22.9110137,-43.2093727
Miami,United States,25.7741728,-80.19362
Los Angeles,United States,34.0536909,-118.242766
Toronto,Canada,43.6534817,-79.3839347
Vancouver,Canada,49.2608724,-123.1139529
Cape Town,South Africa,-33.928992,18.417396
Zanzibar City,Tanzania,-6.1664908,39.2074312
Lamu,Kenya,-2.2675396,40.9010641
Essaouira,Morocco,31.5118281,-9.7620903
Moscow,Russia,55.7504461,37.6174943
St Petersburg,Russia,59.938732,30.316229
Kazan,Russia,55.7823547,49.1242266
Yekaterinburg,Russia,56.839104,60.60825
Perth,Australia,-31.9527121,115.8604796
Margaret River,Australia,-33.9531776,115.0769369
Melbourne,Australia,-37.8142176,144.9631608
Port Douglas,Australia,-16.4845983,145.4636294
