Neighborhood,Coordinates
Downtown,"['43°39′9.01″N', '79°23′0.81″W']"
Harbourfront,"['43°38′17″N', '79°23′06″W']"
Little Italy,"['43°39′18″N', '79°24′47″W']"
Little Portugal,"['43°39′00″N', '79°26′08″W']"
Dufferin Grove,"['43°39′25″N', '79°25′41″W']"
Palmerston,
University,"['43°39′42″N', '79°23′42″W']"
Bay Street Corridor,"['43°39′26″N', '79°23′03″W']"
Kensington Market,"['43°39′17.18″N', '79°24′02.44″W']"
Chinatown,"['43°39′10″N', '79°23′53″W']"
Trinity Bellwoods,"['43°38.8′N', '79°24.5′W']"
South Niagara,"['43°38′35″N', '79°24′29″W']"
Island airport,
The Islands,
waterfront communities C1,
Queen's Park,"['43°39′53″N', '79°23′33″W']"
Ontario Provincial Government,
Victoria Hotel,"['43°38′54″N', '79°22′39″W']"
Central Bay Street,
First Canadian Place,"['43°38′55″N', '79°22′54″W']"
Design Exchange,"['43°38′52″N', '79°22′48″W']"
Adelaide,"['34°55′44″S', '138°36′4″E']"
University of Toronto,"['43°39′42″N', '79°23′42″W']"
Union Station,"['43°38′43″N', '79°22′50″W']"
The Annex,"['43°40′12″N', '79°24′14″W']"
Yorkville,"['43°40′13″N', '79°23′28″W']"
South Hill,"['43°40′52″N', '79°24′14″W']"
Summerhill,"['43°40′59″N', '79°23′24″W']"
Wychwood Park,"['43°40′41″N', '79°25′10″W']"
Deer Park,"['43°41′17″N', '79°23′38.5″W']"
Casa Loma,"['43°40′41″N', '79°24′34″W']"
Forest Hill South,"['43°42′00″N', '79°25′00″W']"
Oakwood–Vaughan,"['43°41′33″N', '79°26′27″W']"
Humewood–Cedarvale,"['43°41′28″N', '79°25′33″W']"
Corso Italia,"['43°40′37″N', '79°26′42″W']"
Humewood-Cedarvale,"['43°41′28″N', '79°25′33″W']"
Forest Hill Road Park,
Bedford Park,"['43°43′48″N', '79°24′40″W']"
Lawrence Manor,"['43°43′30″N', '79°26′13″W']"
North Toronto,"['43°42′40″N', '79°23′20″W']"
Forest Hill North,"['43°42′00″N', '79°25′00″W']"
Lawrence Park,"['43°43′19″N', '79°23′17″W']"
Lawrence Heights,"['43°43′08″N', '79°27′00″W']"
Roselawn,
North York,"['43°46′47″N', '079°24′56″W']"
Clanton Park,"['43°45′00″N', '79°27′00″W']"
Bathurst Manor,"['43°45′46″N', '79°27′25″W']"
Willowdale West,"['43°47′14″N', '79°25′46″W']"
Newtonbrook West,"['43°47′N', '79°25′W']"
Westminster–Branson,"['43°39′22″N', '79°28′30″W']"
Lansing-Westgate,"['43°45′25″N', '79°25′01″W']"
Cabbagetown,"['43°39′59″N', '79°21′46″W']"
St. Lawrence Market,
Toronto waterfront,"['43°38′53″N', '79°20′47″W']"
Moss Park,"['43°39′21″N', '79°22′02″W']"
Church and Wellesley,"['43°39′56.50″N', '79°22′51.44″W']"
Garden District,"['43°39′31″N', '79°22′33″W']"
Regent Park,"['43°39′42″N', '79°21′54″W']"
St. James Town,"['43°40′9″N', '79°22′22″W']"
Ryerson,
Berczy Park,"['43°38′53″N', '79°22′31″W']"
Moore Park,"['43°41′28″N', '79°22′37″W']"
Rosedale,"['43°40′44″N', '79°22′41″W']"
Davisville Village,"['43°42′04″N', '79°23′20″W']"
Midtown Toronto,"['43°42′28″N', '79°23′57″W']"
Mount Pleasant,
Davisville North,
Davisville,"['43°42′04″N', '79°23′20″W']"
Leaside,"['43°42′00″N', '79°22′00″W']"
Thorncliffe Park,"['43°42′17″N', '79°20′47″W']"
Flemingdon Park,"['43°43′10″N', '79°20′20″W']"
York Mills,"['43°44′35″N', '79°24′24″W']"
St.Andrew - Windfields,
Bridle Path,"['43°44′06″N', '79°22′24″W']"
Sunnybrook,
York Mills West,
Don Mills,"['43°44′14″N', '79°20′36″W']"
Parkwoods–Donalda,
Victoria Village,"['43°44′08″N', '79°18′45″W']"
Banbury,"['52°03′40″N', '1°20′10″W']"
Parkwoods,"['43°45′04″N', '79°19′23″W']"
Newtonbrook East,"['43°47′N', '79°25′W']"
Willowdale East,"['43°47′14″N', '79°25′46″W']"
Newtonbrook,"['43°47′N', '79°25′W']"
Hillcrest Village,"['43°48′00″N', '79°21′32″W']"
Bayview Woods-Steeles,"['43°47′49″N', '79°22′59″W']"
Bayview Village,"['43°46′37″N', '79°22′44″W']"
Don Valley Village,"['43°47′00″N', '79°21′05″W']"
Henry Farm,"['43°46′12″N', '79°21′07″W']"
Pleasant View,"['43°47′13″N', '79°20′06″W']"
Riverdale,"['43°40′04″N', '79°20′59″W']"
Danforth (Greektown),
Leslieville,"['43°39′43″N', '79°19′55″W']"
Blake-Jones,"['43°40′04″N', '79°20′59″W']"
Greenwood,
Coxwell,
Studio District,
The Beaches,"['43°40′02″N', '79°17′50″W']"
Woodbine Corridor,"['43°40′56″N', '79°18′12″W']"
East End - Danforth,
The Beaches West,
South Central Letter Processing Plant Toronto,
Danforth (Greektown),
East York,"['43°41′28.68″N', '79°19′40.08″W']"
Playter Estates,"['43°40′41″N', '79°21′20″W']"
Broadview North (Old East York),
O'Connor–Parkview,"['43°42′20″N', '79°18′46″W']"
Crescent Town,"['43°41′45″N', '79°17′35″W']"
Woodbine Heights,"['43°41′35.9″N', '79°18′57″W']"
Woodbine Gardens,"['43°42′20″N', '79°18′46″W']"
Parkview Hill,"['43°42′20″N', '79°18′46″W']"
The Golden Mile,
Dorset Park,"['43°45′55″N', '79°16′52″W']"
Wexford,"['52°20′03″N', '6°27′27″W']"
Maryvale,"['43°44′35″N', '79°18′16″W']"
Scarborough Junction (Kennedy Park),
Ionview,"['43°43′53″N', '79°16′16″W']"
Clairlea,"['43°42′35″N', '79°17′27″W']"
Birchmount,
Steeles,
L'Amoreaux West,
Tam O'Shanter – Sullivan,"['43°47′17″N', '79°18′05″W']"
Clarks Corners,
L'Amoreaux,"['43°47′40″N', '79°19′33″W']"
Birch Cliff,"['43°41′15″N', '79°16′10″W']"
Oakridge,"['43°41′44″N', '79°16′33″W']"
Hunt Club,"['45°21′00″N', '75°40′30″W']"
Cliffside,"['43°42′40″N', '79°14′53″W']"
Agincourt,"['43°47′33″N', '79°17′02″W']"
Malvern West,
Milliken,"['43°49′33″N', '79°18′3″W']"
Scarborough Village,"['43°44′35″N', '79°13′08″W']"
Cliffcrest,"['43°43′19″N', '79°13′52″W']"
Guildwood,"['43°44′51″N', '79°11′58″W']"
Eglinton East (Knob Hill),
