Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Downtown,43.65250277777778,-79.38355833333334,Downtown Toronto,43.65323167517444,-79.38529600606677,Neighborhood
Downtown,43.65250277777778,-79.38355833333334,Nathan Phillips Square,43.65227047322295,-79.38351631164551,Plaza
Downtown,43.65250277777778,-79.38355833333334,Indigo,43.65351471121164,-79.38069591056922,Bookstore
Downtown,43.65250277777778,-79.38355833333334,Four Seasons Centre for the Performing Arts,43.650592,-79.385806,Concert Hall
Downtown,43.65250277777778,-79.38355833333334,The Keg Steakhouse + Bar - York Street,43.64998659318569,-79.38410336664538,Restaurant
Downtown,43.65250277777778,-79.38355833333334,Old City Hall,43.652008800876125,-79.3817442232328,Monument / Landmark
Downtown,43.65250277777778,-79.38355833333334,M Square Coffee Co,43.65121797253777,-79.38355459932247,Coffee Shop
Downtown,43.65250277777778,-79.38355833333334,John & Sons Oyster House,43.65065642537144,-79.38161285228475,Seafood Restaurant
Downtown,43.65250277777778,-79.38355833333334,Hudson's Bay,43.652039815876805,-79.38039146122816,Department Store
Downtown,43.65250277777778,-79.38355833333334,LUSH,43.653557,-79.3804,Cosmetics Shop
Downtown,43.65250277777778,-79.38355833333334,Rosalinda,43.650252483069295,-79.38515575620075,Vegetarian / Vegan Restaurant
Downtown,43.65250277777778,-79.38355833333334,CF Toronto Eaton Centre,43.654446920401455,-79.38095230798749,Shopping Mall
Downtown,43.65250277777778,-79.38355833333334,Apple Eaton Centre,43.6528177,-79.3806173,Electronics Store
Downtown,43.65250277777778,-79.38355833333334,Eggspectation Bell Trinity Square,43.65314383888587,-79.38198016678167,Breakfast Spot
Downtown,43.65250277777778,-79.38355833333334,Richmond Station,43.65156872562108,-79.37926594000328,American Restaurant
Downtown,43.65250277777778,-79.38355833333334,Assembly Chef's Hall,43.650578865093934,-79.3834119303614,Food Court
Downtown,43.65250277777778,-79.38355833333334,Poke Guys,43.65489527525682,-79.38505238381624,Poke Place
Downtown,43.65250277777778,-79.38355833333334,Hy's Steakhouse,43.649504756476944,-79.38291850488223,Steakhouse
Downtown,43.65250277777778,-79.38355833333334,Crepe Delicious,43.654536488277245,-79.38088885547485,Fast Food Restaurant
Downtown,43.65250277777778,-79.38355833333334,Textile Museum of Canada,43.65439630500274,-79.38650010906946,Art Museum
Downtown,43.65250277777778,-79.38355833333334,Chatime 日出茶太,43.65554164147378,-79.38468427043244,Bubble Tea Shop
Downtown,43.65250277777778,-79.38355833333334,Marriott Downtown at CF Toronto Eaton Centre,43.654728444284025,-79.3824216350913,Hotel
Downtown,43.65250277777778,-79.38355833333334,Danish Pastry House,43.654574,-79.38074,Bakery
Downtown,43.65250277777778,-79.38355833333334,Elgin And Winter Garden Theatres,43.653393796019586,-79.3785073962175,Theater
Downtown,43.65250277777778,-79.38355833333334,HomeSense,43.6530533,-79.3794496,Furniture / Home Store
Downtown,43.65250277777778,-79.38355833333334,Cactus Club Cafe,43.6495520142626,-79.38167072512041,American Restaurant
Downtown,43.65250277777778,-79.38355833333334,GoodLife Fitness Toronto Bell Trinity Centre,43.653436,-79.382314,Gym
Downtown,43.65250277777778,-79.38355833333334,Bell Trinity Square,43.65347479872822,-79.38246987630343,Office
Downtown,43.65250277777778,-79.38355833333334,SEPHORA,43.6535272,-79.3801543,Cosmetics Shop
Downtown,43.65250277777778,-79.38355833333334,Topshop,43.65225092432807,-79.3802210071282,Women's Store
Downtown,43.65250277777778,-79.38355833333334,Adelaide Club Toronto,43.64927944291712,-79.38192123284551,Gym / Fitness Center
Downtown,43.65250277777778,-79.38355833333334,Japango,43.65526771691681,-79.38516506734886,Sushi Restaurant
Downtown,43.65250277777778,-79.38355833333334,UNIQLO ユニクロ,43.65591027779457,-79.38064099181345,Clothing Store
Downtown,43.65250277777778,-79.38355833333334,The Chase,43.650951982093595,-79.37942201983014,New American Restaurant
Downtown,43.65250277777778,-79.38355833333334,Dineen Coffee,43.650497,-79.378765,Café
Downtown,43.65250277777778,-79.38355833333334,Ed Mirvish Theatre,43.655101567321054,-79.37976762131545,Theater
Downtown,43.65250277777778,-79.38355833333334,Friendly Stranger - Cannabis Culture Shop,43.650386666114635,-79.38852348995324,Smoke Shop
Downtown,43.65250277777778,-79.38355833333334,Shangri-La Toronto,43.64912919417502,-79.3865566853963,Hotel
Downtown,43.65250277777778,-79.38355833333334,Leña,43.651722,-79.379205,Latin American Restaurant
Downtown,43.65250277777778,-79.38355833333334,Bosk at Shangri-La,43.649022736761516,-79.38582635521233,Asian Restaurant
Downtown,43.65250277777778,-79.38355833333334,MUJI,43.656024,-79.383284,Miscellaneous Shop
Downtown,43.65250277777778,-79.38355833333334,Solei Tanning Salon,43.654734082347616,-79.38024826065258,Tanning Salon
Downtown,43.65250277777778,-79.38355833333334,Pilot Coffee Roasters,43.648835391245896,-79.3809358125033,Coffee Shop
Downtown,43.65250277777778,-79.38355833333334,Roots,43.65361341708363,-79.38024401664734,Clothing Store
Downtown,43.65250277777778,-79.38355833333334,Soho House Toronto,43.64873430659662,-79.38654117564838,Speakeasy
Downtown,43.65250277777778,-79.38355833333334,Sansotei Ramen 三草亭,43.655157467561246,-79.38650067479335,Ramen Restaurant
